City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Yataity,12,PY,2020-04-01,58,-26.37,-56.07,81.24800000000002,3.4225182000000003
Coolum Beach,51,AU,2020-04-01,91,-26.53,153.1,71.99600000000005,1.006623
Codrington,100,AU,2020-04-01,85,-38.27,141.97,60.656000000000034,5.2568090000000005
Presidencia Roque Sáenz Peña,13,AR,2020-04-01,69,-26.79,-60.44,78.83600000000007,7.5608572
Esperance,90,AU,2020-04-01,82,-33.87,121.9,62.6,10.289924
Pringsewu,97,ID,2020-04-01,84,-5.36,104.97,78.458,0.33554100000000003
Saldanha,0,ZA,2020-04-01,52,-33.01,17.94,84.2,5.816044000000001
Flinders,75,AU,2020-04-01,100,-34.58,150.86,71.99600000000005,2.23694
Waingapu,60,ID,2020-04-01,73,-9.66,120.26,80.78000000000004,2.4158952000000005
Chui,43,UY,2020-04-01,75,-33.7,-53.46,69.99800000000002,13.5558564
Ballina,40,AU,2020-04-01,100,-28.87,153.57,68.0,4.697574
Pando,90,UY,2020-04-01,82,-34.72,-55.95,66.99199999999999,4.697574
Humaitá,100,BR,2020-04-01,92,-7.51,-63.02,77.05400000000006,1.0961006
Tsaratanana,29,MG,2020-04-01,52,-16.78,47.65,87.65600000000003,2.7514362
Mahajanga,20,MG,2020-04-01,70,-15.72,46.32,89.6,10.289924
Rantepao,100,ID,2020-04-01,73,-2.97,119.9,69.674,0.7158208
Castro,66,BR,2020-04-01,53,-24.79,-50.01,68.95400000000006,3.9370144000000002
Bambous Virieux,75,MU,2020-04-01,79,-20.34,57.76,84.2,8.052984
Port Hedland,98,AU,2020-04-01,58,-20.32,118.57,84.2,9.171454
Kismayo,71,SO,2020-04-01,60,-0.36,42.55,88.66400000000004,8.5898496
Kefamenanu,33,ID,2020-04-01,81,-9.45,124.48,73.04000000000002,1.1408394000000002
Urucará,90,BR,2020-04-01,82,-2.54,-57.76,79.84400000000008,1.5882274
Taltal,44,CL,2020-04-01,69,-25.4,-70.48,66.07400000000001,1.1855782000000001
Puerto Nariño,90,CO,2020-04-01,100,-3.77,-70.38,73.4,0.7381902000000001
Pisco,90,PE,2020-04-01,30,-13.7,-76.22,71.6,3.35541
Te Anau,46,NZ,2020-04-01,72,-45.42,167.72,52.10600000000003,0.8276678000000001
Broken Hill,90,AU,2020-04-01,82,-31.95,141.43,68.0,5.816044000000001
Kruisfontein,77,ZA,2020-04-01,59,-34.0,24.73,65.3180000000001,15.3677778
Namatanai,92,PG,2020-04-01,79,-3.67,152.43,81.68000000000004,11.542610400000001
Luganville,100,VU,2020-04-01,87,-15.53,167.17,76.98200000000003,7.9858758000000005
Matiri,57,TZ,2020-04-01,61,-10.75,34.9,74.066,4.809421
Mount Gambier,75,AU,2020-04-01,77,-37.83,140.77,59.0,3.0646078000000005
Sambava,43,MG,2020-04-01,82,-14.27,50.17,83.22800000000007,7.82929
Japura,81,ID,2020-04-01,87,-0.32,102.35,79.88000000000005,2.23694
Chivilcoy,29,AR,2020-04-01,92,-34.9,-60.02,66.99199999999999,4.0041226000000005
Tshikapa,45,CD,2020-04-01,45,-6.42,20.8,94.04600000000005,2.0803542000000004
Carnarvon,98,AU,2020-04-01,73,-24.87,113.63,75.2,18.342908
Benguela,75,AO,2020-04-01,70,-12.58,13.41,84.2,9.171454
Vallenar,25,CL,2020-04-01,42,-28.57,-70.76,71.97800000000007,1.3645334
Airai,82,TL,2020-04-01,75,-8.93,125.41,63.53600000000007,0.782929
