City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Port Hardy,20,CA,2020-04-01,91,50.7,-127.42,32.0,5.816044000000001
Tongliao,0,CN,2020-04-01,38,43.61,122.27,46.76000000000008,10.3346628
Hobyo,22,SO,2020-04-01,58,5.35,48.53,88.808,13.7348116
Yellowknife,40,CA,2020-04-01,62,62.46,-114.35,-12.99999999999995,8.052984
Coyhaique,20,CL,2020-04-01,75,-45.58,-72.07,46.4,4.697574
Shaunavon,100,CA,2020-04-01,86,49.65,-108.42,10.958000000000002,17.224438000000003
Bluff,31,NZ,2020-04-01,87,-46.6,168.33,55.004000000000055,1.9908766000000002
Puerto Ayora,75,EC,2020-04-01,78,-0.74,-90.35,80.6,3.35541
Taunggyi,4,MM,2020-04-01,22,20.78,97.03,74.46200000000006,6.084476800000001
Imeni Poliny Osipenko,63,RU,2020-04-01,80,52.42,136.49,32.68399999999999,4.921268
Kutum,7,SD,2020-04-01,6,14.2,24.67,96.29600000000005,6.8674058
Saint-Augustin,100,CA,2020-04-01,95,51.23,-58.65,36.05,14.047983200000001
Constitución,0,CL,2020-04-01,62,-35.33,-72.42,53.45600000000003,8.231939200000001
Waddān,7,LY,2020-04-01,17,29.16,16.14,77.108,4.2054472
Taitung City,75,TW,2020-04-01,93,22.76,121.14,66.2,5.816044000000001
Cidreira,83,BR,2020-04-01,81,-30.18,-50.21,73.43600000000006,16.7994194
Saskylakh,44,RU,2020-04-01,89,71.92,114.08,-3.693999999999974,7.918767600000001
Ixtapa,75,MX,2020-04-01,94,20.7,-105.2,68.0,2.5948504
Lago da Pedra,98,BR,2020-04-01,84,-4.33,-45.17,80.09600000000006,2.7290668
Sechura,95,PE,2020-04-01,76,-5.56,-80.82,74.62400000000002,7.8963982
Barra de Tecoanapa,0,MX,2020-04-01,75,16.52,-98.75,74.24600000000005,2.7514362
Amga,94,RU,2020-04-01,94,60.9,131.96,18.644000000000073,4.585727
Leningradskiy,96,RU,2020-04-01,93,69.38,178.42,8.402000000000076,4.787051600000001
Matadi,98,CD,2020-04-01,67,-5.82,13.45,88.484,2.3935258000000004
Kunya,100,NG,2020-04-01,17,12.22,8.53,104.0,11.408394
Hermanus,16,ZA,2020-04-01,56,-34.42,19.23,80.00600000000003,11.989998400000001
Samarai,84,PG,2020-04-01,82,-10.62,150.67,80.34800000000003,7.672704200000001
Erenhot,0,CN,2020-04-01,35,43.65,111.98,39.128000000000064,8.4780026
Ambilobe,47,MG,2020-04-01,76,-13.2,49.05,84.93800000000005,5.704197
Provideniya,100,RU,2020-04-01,96,64.38,-173.3,21.83000000000004,6.039738000000001
Kiama,75,AU,2020-04-01,100,-34.68,150.87,69.99800000000002,2.23694
Abu Kamal,1,SY,2020-04-01,29,34.45,40.92,74.96600000000001,20.3337846
Ikornnes,75,NO,2020-04-01,86,62.39,6.56,44.6,19.461378
Butaritari,61,KI,2020-04-01,75,3.07,172.79,84.02000000000007,12.549233400000002
Thompson,75,CA,2020-04-01,85,55.74,-97.86,12.2,6.934514000000001
Saint-Paul,75,RE,2020-04-01,66,-21.01,55.27,86.0,3.35541
Cherskiy,1,RU,2020-04-01,87,68.75,161.3,0.03200000000001424,7.1358386000000005
Saint-Philippe,40,RE,2020-04-01,78,-21.36,55.77,86.0,8.052984
Seymchan,34,RU,2020-04-01,83,62.88,152.43,6.13399999999999,5.122592600000001
San Fernando del Valle de Catamarca,50,AR,2020-04-01,99,-28.47,-65.79,71.00600000000003,0.8052984
Bredasdorp,38,ZA,2020-04-01,40,-34.53,20.04,75.00200000000008,23.040482000000004
Changying,56,CN,2020-04-01,65,52.87,123.32,35.00600000000003,12.6834498
Broome,90,US,2020-04-01,80,42.25,-75.83,41.0,6.934514000000001
Byron Bay,40,AU,2020-04-01,100,-28.65,153.62,71.99600000000005,4.697574
Wewak,98,PG,2020-04-01,85,-3.55,143.63,80.65400000000005,10.804420200000001
Nemuro,100,JP,2020-04-01,96,43.32,145.57,39.110000000000085,14.2493078
Sur,0,OM,2020-04-01,61,22.57,59.53,79.61000000000008,10.021491200000002
Rio Branco,75,BR,2020-04-01,94,-9.97,-67.81,77.0,3.35541
Khani,90,GE,2020-04-01,54,41.96,42.96,59.0,21.922012000000002
Pimentel,75,PE,2020-04-01,29,-6.84,-79.93,66.2,6.3081708
Tasiilaq,20,GL,2020-04-01,72,65.61,-37.64,10.399999999999999,46.08096400000001
Camaná,80,PE,2020-04-01,73,-16.62,-72.71,73.14800000000002,5.7265664
San Rafael del Sur,20,NI,2020-04-01,83,11.85,-86.44,73.4,6.934514000000001
Tocopilla,40,CL,2020-04-01,43,-22.09,-70.2,75.7760000000001,2.7961750000000003
Hofn,0,IS,2020-04-01,44,64.25,-15.21,41.0,26.395892000000003
Jutaí,100,BR,2020-04-01,94,-5.18,-68.9,74.12000000000006,1.1855782000000001
Kaitangata,2,NZ,2020-04-01,85,-46.28,169.85,53.99600000000005,2.1027236
Margate,20,GB,2020-04-01,61,51.38,1.39,50.0,8.052984
Arsikere,1,IN,2020-04-01,9,13.31,76.26,95.63000000000005,9.2609316
Hasaki,75,JP,2020-04-01,93,35.73,140.83,57.2,13.869028000000002
Hithadhoo,98,MV,2020-04-01,70,-0.6,73.08,84.07400000000001,10.782050800000002
Taastrup,98,DK,2020-04-01,70,55.65,12.29,50.0,21.922012000000002
Anadyr,75,RU,2020-04-01,85,64.75,177.48,14.0,4.47388
Clyde River,90,CA,2020-04-01,70,70.47,-68.59,-0.39999999999994884,17.224438000000003
Deputatsky,67,RU,2020-04-01,82,69.3,139.9,-8.931999999999967,1.0513618
Caravelas,1,BR,2020-04-01,77,-17.71,-39.25,81.10400000000006,7.1358386000000005
Quatre Cocos,75,MU,2020-04-01,79,-20.21,57.76,84.2,8.052984
